player,team,TotMin,TotalGames,AvgMin
Aaron Gordon,DEN,160,5,32
Aaron Holiday,PHX,20,6,3.3
Aaron Nesmith,BOS,52,14,3.7
Al Horford,BOS,815,23,35.4
Alex Caruso,CHI,113,4,28.2
Andre Drummond,BKN,60,4,15
Andre Iguodala,GSW,61,7,8.7
Andrew Wiggins,GSW,767,22,34.9
Anthony Edwards,MIN,227,6,37.8
Armoni Brooks,TOR,8,4,2
Austin Rivers,DEN,108,5,21.6
Ayo Dosunmu,CHI,86,5,17.2
Bam Adebayo,MIA,614,18,34.1
Bismack Biyombo,PHX,86,9,9.6
Blake Griffin,BKN,25,2,12.5
Boban Marjanovic,DAL,6,3,2
Bobby Portis,MIL,298,12,24.8
Bogdan Bogdanovic,ATL,107,4,26.8
Bojan Bogdanovic,UTA,214,6,35.7
Bones Hyland,DEN,87,5,17.4
Brandon Clarke,MEM,296,12,24.7
Brandon Ingram,NOP,236,6,39.3
Brook Lopez,MIL,332,12,27.7
Bruce Brown,BKN,139,4,34.8
Bryn Forbes,DEN,76,5,15.2
CJ McCollum,NOP,234,6,39
Caleb Martin,MIA,209,17,12.3
Cameron Johnson,PHX,320,13,24.6
Cameron Payne,PHX,172,13,13.2
Charles Bassey,PHI,12,3,4
Chris Boucher,TOR,130,6,21.7
Chris Paul,PHX,448,13,34.5
Clint Capela,ATL,40,2,20
Coby White,CHI,98,5,19.6
D'Angelo Russell,MIN,196,6,32.7
Dalano Banton,TOR,8,4,2
Damion Lee,GSW,124,16,7.8
Daniel Theis,BOS,200,16,12.5
Danilo Gallinari,ATL,112,5,22.4
Danny Green,PHI,319,12,26.6
Danuel House Jr.,UTA,112,6,18.7
Davis Bertans,DAL,192,18,10.7
De'Andre Hunter,ATL,175,5,35
De'Anthony Melton,MEM,170,10,17
DeAndre Jordan,PHI,31,3,10.3
DeMar DeRozan,CHI,203,5,40.6
DeMarcus Cousins,DEN,57,5,11.4
Deandre Ayton,PHX,397,13,30.5
Delon Wright,ATL,137,5,27.4
Derrick Jones Jr.,CHI,59,5,11.8
Derrick White,BOS,585,23,25.4
Desmond Bane,MEM,428,12,35.7
Devin Booker,PHX,366,10,36.6
Devonte' Graham,NOP,60,6,10
Dewayne Dedmon,MIA,138,14,9.9
Dillon Brooks,MEM,335,11,30.5
Donovan Mitchell,UTA,229,6,38.2
Dorian Finney-Smith,DAL,688,18,38.2
Draymond Green,GSW,703,22,32
Duncan Robinson,MIA,159,13,12.2
Dwight Powell,DAL,249,18,13.8
Elfrid Payton,PHX,8,2,4
Eric Paschall,UTA,24,4,6
Facundo Campazzo,DEN,13,4,3.2
Frank Ntilikina,DAL,125,12,10.4
Fred VanVleet,TOR,140,4,35
Furkan Korkmaz,PHI,61,9,6.8
Gabe Vincent,MIA,423,18,23.5
Garrett Temple,NOP,2,1,2
Gary Payton II,GSW,203,12,16.9
Gary Trent Jr.,TOR,199,6,33.2
George Hill,MIL,76,5,15.2
Georges Niang,PHI,198,12,16.5
Giannis Antetokounmpo,MIL,448,12,37.3
Goran Dragic,BKN,79,4,19.8
Gorgui Dieng,ATL,10,2,5
Grant Williams,BOS,654,24,27.2
Grayson Allen,MIL,305,12,25.4
Greg Monroe,MIN,7,2,3.5
Hassan Whiteside,UTA,65,6,10.8
Haywood Highsmith,MIA,31,8,3.9
Herbert Jones,NOP,226,6,37.7
Isaac Bonga,TOR,3,1,3
Isaiah Joe,PHI,15,7,2.1
Ish Wainright,PHX,26,7,3.7
Ja Morant,MEM,338,9,37.6
JaMychal Green,DEN,69,5,13.8
JaVale McGee,PHX,133,12,11.1
Jaden McDaniels,MIN,130,6,21.7
Jaden Springer,PHI,13,5,2.6
Jae Crowder,PHX,383,13,29.5
Jalen Brunson,DAL,629,18,34.9
Jalen Johnson,ATL,9,2,4.5
James Harden,PHI,479,12,39.9
Jared Butler,UTA,5,1,5
Jaren Jackson Jr.,MEM,332,12,27.7
Jarred Vanderbilt,MIN,129,6,21.5
Jarrett Culver,MEM,22,3,7.3
Javonte Green,CHI,72,5,14.4
Jaxson Hayes,NOP,83,6,13.8
Jaylen Brown,BOS,920,24,38.3
Jaylen Nowell,MIN,12,1,12
Jayson Tatum,BOS,983,24,41
Jeff Green,DEN,113,5,22.6
Jevon Carter,MIL,126,11,11.5
Jimmy Butler,MIA,629,17,37
Joel Embiid,PHI,385,10,38.5
John Collins,ATL,122,5,24.4
John Konchar,MEM,56,8,7
Jonas Valanciunas,NOP,175,6,29.2
Jonathan Kuminga,GSW,138,16,8.6
Jordan Clarkson,UTA,170,6,28.3
Jordan McLaughlin,MIN,83,5,16.6
Jordan Nwora,MIL,20,8,2.5
Jordan Poole,GSW,606,22,27.5
Jose Alvarado,NOP,117,6,19.5
Josh Green,DAL,121,16,7.6
Jrue Holiday,MIL,463,12,38.6
Juan Toscano-Anderson,GSW,49,14,3.5
Juancho Hernangomez,UTA,56,6,9.3
Juwan Morgan,BOS,15,9,1.7
Karl-Anthony Towns,MIN,222,6,37
Kessler Edwards,BKN,7,2,3.5
Kevin Durant,BKN,176,4,44
Kevin Huerter,ATL,154,5,30.8
Kevin Knox II,ATL,9,2,4.5
Kevon Looney,GSW,448,22,20.4
Khem Birch,TOR,63,6,10.5
Khris Middleton,MIL,72,2,36
Klay Thompson,GSW,792,22,36
Kyle Anderson,MEM,221,12,18.4
Kyle Lowry,MIA,295,10,29.5
Kyrie Irving,BKN,170,4,42.5
Landry Shamet,PHX,192,12,16
Larry Nance Jr.,NOP,130,6,21.7
Luca Vildoza,MIL,17,7,2.4
Luka Doncic,DAL,552,15,36.8
Luke Kornet,BOS,20,10,2
Malachi Flynn,TOR,36,6,6
Malik Beasley,MIN,119,6,19.8
Malik Fitts,BOS,16,9,1.8
Marcus Smart,BOS,760,21,36.2
Markieff Morris,MIA,3,1,3
Marquese Chriss,DAL,30,8,3.8
Matisse Thybulle,PHI,137,9,15.2
Max Strus,MIA,523,18,29.1
Maxi Kleber,DAL,457,18,25.4
Mikal Bridges,PHX,500,13,38.5
Mike Conley,UTA,174,6,29
Monte Morris,DEN,156,5,31.2
Moses Moody,GSW,105,13,8.1
Naji Marshall,NOP,56,6,9.3
Naz Reid,MIN,54,5,10.8
Nemanja Bjelica,GSW,150,15,10
Nic Claxton,BKN,98,4,24.5
Nickeil Alexander-Walker,UTA,5,1,5
Nik Stauskas,BOS,24,13,1.8
Nikola Jokic,DEN,171,5,34.2
Nikola Vucevic,CHI,181,5,36.2
OG Anunoby,TOR,216,6,36
Omer Yurtseven,MIA,38,9,4.2
Onyeka Okongwu,ATL,108,5,21.6
Otto Porter Jr.,GSW,371,19,19.5
P.J. Tucker,MIA,509,18,28.3
Pascal Siakam,TOR,260,6,43.3
Pat Connaughton,MIL,318,12,26.5
Patrick Beverley,MIN,194,6,32.3
Patrick Williams,CHI,153,5,30.6
Patty Mills,BKN,72,4,18
Paul Millsap,PHI,6,1,6
Paul Reed,PHI,140,12,11.7
Payton Pritchard,BOS,309,24,12.9
Precious Achiuwa,TOR,167,6,27.8
Rayjon Tucker,MIL,19,8,2.4
Reggie Bullock,DAL,707,18,39.3
Robert Williams III,BOS,394,17,23.2
Royce O'Neale,UTA,188,6,31.3
Rudy Gobert,UTA,197,6,32.8
Sam Hauser,BOS,15,7,2.1
Scottie Barnes,TOR,133,4,33.2
Serge Ibaka,MIL,22,6,3.7
Seth Curry,BKN,132,4,33
Shake Milton,PHI,158,12,13.2
Skylar Mays,ATL,9,2,4.5
Spencer Dinwiddie,DAL,501,18,27.8
Stephen Curry,GSW,764,22,34.7
Sterling Brown,DAL,26,9,2.9
Steven Adams,MEM,114,7,16.3
Svi Mykhailiuk,TOR,5,3,1.7
Taurean Prince,MIN,65,5,13
Thaddeus Young,TOR,87,6,14.5
Thanasis Antetokounmpo,MIL,20,8,2.5
Timothe Luwawu-Cabarrot,ATL,22,4,5.5
Tobias Harris,PHI,466,12,38.8
Tony Bradley,CHI,8,2,4
Torrey Craig,PHX,69,9,7.7
Trae Young,ATL,186,5,37.2
Trey Burke,DAL,37,10,3.7
Trey Murphy III,NOP,120,6,20
Tristan Thompson,CHI,38,5,7.6
Troy Brown Jr.,CHI,37,3,12.3
Tyler Herro,MIA,381,15,25.4
Tyrese Maxey,PHI,485,12,40.4
Tyus Jones,MEM,262,12,21.8
Victor Oladipo,MIA,368,15,24.5
Vlatko Cancar,DEN,9,2,4.5
Wesley Matthews,MIL,345,12,28.8
Will Barton,DEN,172,5,34.4
Willy Hernangomez,NOP,2,1,2
Xavier Tillman,MEM,139,9,15.4
Yuta Watanabe,TOR,10,4,2.5
Zach LaVine,CHI,153,4,38.2
Zeke Nnaji,DEN,9,2,4.5
Ziaire Williams,MEM,168,10,16.8
